Date,Holiday name
"Monday, January 1, 2018","Solemnity of Mary, Mother of God"
"Saturday, January 6, 2018",Epiphany
"Tuesday, February 13, 2018",Shrove Tuesday (Mardi Gras)
"Wednesday, February 14, 2018",Ash Wednesday
"Sunday, March 25, 2018",Palm Sunday
"Thursday, March 29, 2018",Maundy Thursday
"Friday, March 30, 2018",Good Friday
"Sunday, April 1, 2018",Easter
"Monday, April 2, 2018",Easter Monday
"Thursday, May 10, 2018",Ascension of Jesus
"Sunday, May 20, 2018",Pentecost
"Thursday, May 31, 2018",Corpus Christi
"Wednesday, August 15, 2018",Assumption of the Blessed Virgin Mary
"Thursday, November 1, 2018",All Saints' Day
"Saturday, December 8, 2018",The Immaculate Conception of The Blessed Virgin Mary
"Tuesday, December 25, 2018",Christmas
